Type
""
Medium
""
""
""
Medium
Hard
""
""
""
Medium
Hard
Hard
""
Medium
""
""
Medium
Medium
Medium
Hard
Hard
""
Medium
Hard
Hard
Hard
Medium
Hard
""
Medium
Hard
Hard
Medium
Medium
Hard
Medium
Medium
Hard
Medium
Medium
Hard
Medium
Medium
Hard
Hard
Medium
Medium
Medium
Hard
""
""
Medium
Hard
Hard
Medium
Medium
Medium
Hard
Hard
